,ST_CASE,HOUR,MINUTE,TIME
0,10001,2,40,160
1,10002,22,13,1333
2,10003,1,25,85
3,10004,0,57,57
4,10005,7,9,429
5,10006,9,59,599
6,10007,18,33,1113
7,10008,21,30,1290
8,10009,8,0,480
9,10010,18,45,1125
10,10011,20,55,1255
11,10012,6,35,395
12,10013,10,55,655
13,10014,6,13,373
14,10015,8,30,510
15,10016,17,20,1040
16,10017,14,40,880
17,10018,19,15,1155
18,10019,1,0,60
19,10020,17,10,1030
20,10021,13,48,828
21,10022,6,15,375
22,10023,21,20,1280
23,10024,6,0,360
24,10025,3,5,185
25,10026,13,33,813
26,10027,14,42,882
27,10028,0,31,31
28,10029,5,40,340
29,10030,13,15,795
30,10031,16,38,998
31,10032,6,20,380
32,10033,21,22,1282
33,10034,14,27,867
34,10035,9,25,565
35,10036,14,25,865
36,10037,14,40,880
37,10038,16,50,1010
38,10039,0,50,50
39,10040,15,57,957
40,10041,21,10,1270
41,10042,18,45,1125
42,10043,3,20,200
43,10044,3,10,190
44,10045,8,19,499
45,10046,2,15,135
46,10047,0,7,7
47,10048,22,0,1320
48,10049,1,15,75
49,10050,4,50,290
50,10051,14,38,878
51,10052,4,40,280
52,10053,17,55,1075
53,10054,17,30,1050
54,10055,2,25,145
55,10056,2,20,140
56,10057,17,52,1072
57,10058,14,40,880
58,10059,22,0,1320
59,10060,17,39,1059
60,10061,21,33,1293
61,10062,10,55,655
62,10063,3,55,235
63,10064,0,19,19
64,10065,10,47,647
65,10066,1,41,101
66,10067,11,41,701
67,10068,18,23,1103
68,10069,21,8,1268
69,10070,3,55,235
70,10071,22,30,1350
71,10072,19,0,1140
72,10073,23,0,1380
73,10074,5,17,317
74,10075,18,0,1080
75,10076,10,9,609
76,10077,18,43,1123
77,10078,15,52,952
78,10079,4,45,285
79,10080,15,25,925
80,10081,12,0,720
81,10082,21,14,1274
82,10083,3,13,193
83,10084,10,25,625
84,10085,13,30,810
85,10086,17,58,1078
86,10087,12,25,745
87,10088,19,45,1185
88,10089,18,56,1136
89,10090,18,25,1105
90,10091,10,52,652
91,10092,19,10,1150
92,10093,5,55,355
93,10094,20,25,1225
94,10095,8,7,487
95,10096,13,45,825
96,10097,7,48,468
97,10098,19,57,1197
98,10099,11,47,707
99,10101,4,0,240
100,10102,3,38,218
101,10103,1,40,100
102,10104,15,3,903
103,10105,99,99,6039
104,10106,23,5,1385
105,10107,0,41,41
106,10108,19,21,1161
107,10109,10,0,600
108,10110,16,40,1000
109,10111,22,55,1375
110,10112,1,45,105
111,10113,20,15,1215
112,10114,22,49,1369
113,10115,23,28,1408
114,10116,21,7,1267
115,10117,19,30,1170
116,10118,4,34,274
117,10119,20,5,1205
118,10120,13,27,807
119,10121,14,15,855
120,10122,11,50,710
121,10123,7,55,475
122,10124,10,4,604
123,10125,15,6,906
124,10126,12,0,720
125,10127,21,30,1290
126,10128,21,45,1305
127,10129,7,15,435
128,10130,8,20,500
129,10131,19,40,1180
130,10132,4,36,276
131,10133,8,25,505
132,10134,23,35,1415
133,10135,21,45,1305
134,10136,4,45,285
135,10137,19,15,1155
136,10138,19,50,1190
137,10139,11,29,689
138,10140,18,30,1110
139,10141,16,50,1010
140,10142,20,15,1215
141,10143,0,38,38
142,10144,19,48,1188
143,10145,20,0,1200
144,10146,20,4,1204
145,10147,16,43,1003
146,10148,8,50,530
147,10149,19,5,1145
148,10150,11,40,700
149,10151,15,0,900
150,10152,6,25,385
151,10153,17,25,1045
152,10154,11,45,705
153,10155,20,50,1250
154,10156,13,42,822
155,10157,5,20,320
156,10158,17,22,1042
157,10159,11,42,702
158,10160,22,9,1329
159,10161,15,27,927
160,10162,6,5,365
161,10163,5,50,350
162,10164,14,35,875
163,10165,14,20,860
164,10166,3,15,195
165,10167,23,45,1425
166,10168,0,51,51
167,10169,12,10,730
168,10170,20,23,1223
169,10171,5,0,300
170,10172,15,40,940
171,10173,23,40,1420
172,10174,5,10,310
173,10175,11,50,710
174,10176,7,20,440
175,10177,20,5,1205
176,10178,21,49,1309
177,10179,10,22,622
178,10180,20,25,1225
179,10181,3,25,205
180,10182,9,0,540
181,10183,20,15,1215
