,ST_CASE,HOUR
0,10001,2
1,10002,22
2,10003,1
3,10004,0
4,10005,7
5,10006,9
6,10007,18
7,10008,21
8,10009,8
9,10010,18
10,10011,20
11,10012,6
12,10013,10
13,10014,6
14,10015,8
15,10016,17
16,10017,14
17,10018,19
18,10019,1
19,10020,17
20,10021,13
21,10022,6
22,10023,21
23,10024,6
24,10025,3
25,10026,13
26,10027,14
27,10028,0
28,10029,5
29,10030,13
30,10031,16
31,10032,6
32,10033,21
33,10034,14
34,10035,9
35,10036,14
36,10037,14
37,10038,16
38,10039,0
39,10040,15
40,10041,21
41,10042,18
42,10043,3
43,10044,3
44,10045,8
45,10046,2
46,10047,0
47,10048,22
48,10049,1
49,10050,4
50,10051,14
51,10052,4
52,10053,17
53,10054,17
54,10055,2
55,10056,2
56,10057,17
57,10058,14
58,10059,22
59,10060,17
60,10061,21
61,10062,10
62,10063,3
63,10064,0
64,10065,10
65,10066,1
66,10067,11
67,10068,18
68,10069,21
69,10070,3
70,10071,22
71,10072,19
72,10073,23
73,10074,5
74,10075,18
75,10076,10
76,10077,18
77,10078,15
78,10079,4
79,10080,15
80,10081,12
81,10082,21
82,10083,3
83,10084,10
84,10085,13
85,10086,17
86,10087,12
87,10088,19
88,10089,18
89,10090,18
90,10091,10
91,10092,19
92,10093,5
93,10094,20
94,10095,8
95,10096,13
96,10097,7
97,10098,19
98,10099,11
99,10101,4
100,10102,3
101,10103,1
102,10104,15
103,10105,99
104,10106,23
105,10107,0
106,10108,19
107,10109,10
108,10110,16
109,10111,22
110,10112,1
111,10113,20
112,10114,22
113,10115,23
114,10116,21
115,10117,19
116,10118,4
117,10119,20
118,10120,13
119,10121,14
120,10122,11
121,10123,7
122,10124,10
123,10125,15
124,10126,12
125,10127,21
126,10128,21
127,10129,7
128,10130,8
129,10131,19
130,10132,4
131,10133,8
132,10134,23
133,10135,21
134,10136,4
135,10137,19
136,10138,19
137,10139,11
138,10140,18
139,10141,16
140,10142,20
141,10143,0
142,10144,19
143,10145,20
144,10146,20
145,10147,16
146,10148,8
147,10149,19
148,10150,11
149,10151,15
150,10152,6
151,10153,17
152,10154,11
153,10155,20
154,10156,13
155,10157,5
156,10158,17
157,10159,11
158,10160,22
159,10161,15
160,10162,6
161,10163,5
162,10164,14
163,10165,14
164,10166,3
165,10167,23
166,10168,0
167,10169,12
168,10170,20
169,10171,5
170,10172,15
171,10173,23
172,10174,5
173,10175,11
174,10176,7
175,10177,20
176,10178,21
177,10179,10
178,10180,20
179,10181,3
180,10182,9
181,10183,20
182,10184,15
183,10185,14
184,10186,13
185,10187,20
186,10188,12
187,10189,10
188,10190,13
189,10191,4
190,10192,8
191,10193,11
192,10194,18
193,10195,9
194,10196,20
195,10197,20
196,10198,9
197,10199,10
198,10200,11
199,10201,23
200,10202,20
201,10203,0
202,10204,18
203,10205,0
204,10206,19
205,10207,20
206,10208,23
207,10209,13
208,10210,19
209,10211,9
210,10212,17
211,10213,21
212,10214,20
213,10215,22
214,10216,17
215,10217,0
216,10218,11
217,10219,15
218,10220,19
219,10221,14
220,10222,7
221,10223,21
222,10224,21
223,10225,22
224,10226,9
225,10227,11
226,10228,16
227,10229,6
228,10230,9
229,10231,20
230,10232,20
231,10233,17
232,10234,16
233,10235,19
234,10236,13
235,10237,2
236,10238,16
237,10239,18
238,10240,8
239,10241,12
240,10242,0
241,10243,15
242,10244,6
243,10245,14
244,10246,21
245,10247,21
246,10248,9
247,10249,1
248,10250,6
249,10251,15
250,10252,5
251,10253,6
252,10254,17
253,10255,19
254,10256,20
255,10257,13
256,10258,14
257,10259,16
258,10260,19
259,10261,18
260,10262,20
261,10263,11
262,10264,22
263,10265,5
264,10266,14
265,10267,15
266,10268,9
267,10269,18
268,10270,20
269,10271,22
270,10272,18
271,10273,17
272,10274,19
273,10275,14
274,10276,19
275,10277,17
276,10278,3
277,10279,13
278,10280,21
279,10281,9
280,10282,20
281,10283,5
282,10284,12
283,10285,15
284,10286,14
285,10287,7
286,10288,19
287,10289,21
288,10290,16
289,10291,23
290,10292,3
291,10293,19
292,10294,0
293,10295,5
294,10296,19
295,10297,12
296,10298,15
297,10299,18
298,10300,2
299,10301,1
300,10302,2
301,10303,2
302,10304,20
303,10305,16
304,10306,15
305,10307,12
306,10308,4
307,10309,5
308,10310,8
309,10311,2
310,10312,2
311,10313,14
312,10314,17
313,10315,18
314,10316,18
315,10317,14
316,10318,2
317,10319,20
318,10320,10
319,10321,17
320,10322,12
321,10323,3
322,10324,18
323,10325,12
