STATE,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"860,025 ","851,269 ","1,134,257 ","1,146,065 ","1,070,963 ","1,056,683 ","1,201,515 ","1,251,081 ","1,328,498 ","1,330,957 ","1,324,005 ","1,320,922 "," 1,329,688 ","1,391,528 ","1,478,420 ","1,582,565 ","1,689,539 ","1,554,168 ","1,598,288 ","1,613,522 ","1,686,942 ","1,740,279 ","1,800,717 ","1,805,801 ","1,851,584 ","1,902,812 ","1,944,155 ","2,083,851 ","2,122,679 ","2,159,612 ","2,209,982 ","2,271,493 ","2,315,799 ","2,316,209 ","2,393,878 ","2,472,717 ","2,461,559 ","2,544,715 ","2,773,636 ","2,097,596 ","2,843,587 ","2,752,590 ","2,937,981 ","2,977,311 ","3,008,575 ","2,860,724 ","3,456,100 ","3,138,237 ","3,387,123 ","3,434,117 ","3,445,893 ","3,521,444 ","3,559,897 ","3,577,986 ","3,598,034 ","3,613,138 ","3,637,414 ","3,665,180 ","3,691,762 ","3,753,550 ","3,782,284 ","3,805,751 ","3,798,552 ","3,827,522 ","3,859,403 ","3,881,542 ","3,907,038 ","3,943,082 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska 2/,-,-,-,-,-,-,-,-,-,-,"108,889 ","109,060 "," 104,868 ","96,825 ","103,869 ","111,616 ","119,338 ","107,446 ","114,563 ","128,429 ","135,194 ","141,317 ","146,572 ","153,631 ","161,188 ","179,155 ","208,397 ","213,619 ","225,781 ","220,696 ","218,856 ","217,040 ","228,477 ","258,061 ","288,739 ","305,000 ","300,000 ","310,000 ","300,000 ","300,000 ","300,000 ","314,300 ","318,000 ","405,100 ","437,696 ","435,677 ","434,389 ","439,855 ","446,247 ","456,891 ","459,362 ","465,256 ","472,211 ","480,295 ","481,487 ","482,532 ","486,582 ","489,024 ","495,249 ","503,162 ","507,759 ","515,239 ","521,280 ","526,371 ","528,873 ","531,744 ","533,227 ","534,585 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,"308,319 ","335,730 ","364,315 ","416,341 ","453,758 ","419,144 ","477,722 ","541,373 ","591,851 ","644,039 ","715,869 ","777,899 "," 830,741 ","872,419 ","895,299 ","906,878 ","907,739 ","941,107 ","964,336 ","1,003,749 ","1,045,034 ","1,124,207 ","1,172,814 ","1,184,421 ","1,221,771 ","1,284,155 ","1,326,436 ","1,373,033 ","1,419,363 ","1,612,555 ","1,771,363 ","1,933,321 ","2,020,142 ","2,085,980 ","2,178,815 ","2,256,884 ","2,324,591 ","2,162,505 ","2,272,863 ","2,351,903 ","2,371,588 ","2,392,618 ","2,400,002 ","2,505,887 ","2,623,680 ","2,849,304 ","2,626,222 ","2,727,312 ","3,119,537 ","3,198,276 ","3,297,281 ","3,433,995 ","3,550,367 ","3,668,326 ","3,819,425 ","3,783,927 ","3,943,180 ","4,032,643 ","4,153,739 ","4,315,579 ","4,403,390 ","4,443,647 ","4,592,398 ","4,697,579 ","4,791,450 ","4,881,801 ","4,978,762 ","5,082,305 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,"585,314 ","591,578 ","635,931 ","660,471 ","688,843 ","707,180 ","743,721 ","769,220 ","786,259 ","779,360 ","798,678 ","810,825 "," 818,530 ","842,703 ","880,526 ","918,355 ","948,532 ","982,862 ","1,012,907 ","1,051,218 ","1,034,821 ","1,057,874 ","1,081,045 ","1,119,004 ","1,203,248 ","1,269,165 ","1,312,403 ","1,358,286 ","1,402,035 ","1,366,869 ","1,412,169 ","1,468,700 ","1,532,316 ","1,591,119 ","1,649,567 ","1,674,379 ","1,723,753 ","1,645,779 ","1,657,795 ","1,676,863 ","1,710,953 ","1,722,021 ","1,720,270 ","1,712,225 ","1,750,765 ","1,768,394 ","1,769,012 ","1,752,229 ","1,878,618 ","1,918,451 ","1,925,733 ","1,947,867 ","1,961,883 ","1,965,008 ","1,998,127 ","1,862,430 ","2,024,466 ","2,034,975 ","2,046,039 ","2,055,189 ","2,065,065 ","2,077,806 ","1,956,091 ","2,199,164 ","2,097,201 ","2,111,873 ","2,119,578 ","2,391,103 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,"5,083,333 ","5,182,893 ","5,470,713 ","5,803,946 ","6,127,287 ","6,351,316 ","6,631,453 ","6,964,514 ","7,320,862 ","7,622,056 ","8,154,462 ","8,694,099 "," 9,172,640 ","8,541,854 ","9,053,189 ","9,516,910 ","9,916,119 ","10,356,079 ","10,688,074 ","11,324,141 ","11,425,000 ","11,646,000 ","12,130,000 ","12,650,000 ","12,775,000 ","13,176,000 ","13,564,000 ","14,047,000 ","14,579,000 ","15,020,183 ","15,336,179 ","15,668,731 ","16,046,252 ","16,299,376 ","16,648,518 ","16,946,908 ","17,444,640 ","18,017,285 ","18,562,926 ","18,925,973 ","19,569,735 ","19,845,906 ","19,930,785 ","20,110,665 ","20,123,481 ","20,156,177 ","20,139,586 ","20,249,200 ","20,385,245 ","20,498,902 ","20,830,674 ","21,243,939 ","21,623,793 ","22,394,800 ","22,657,288 ","22,761,088 ","22,895,965 ","23,021,279 ","23,467,452 ","23,697,667 ","23,680,643 ","23,753,441 ","23,856,600 ","24,200,997 ","24,390,236 ","24,813,346 ","25,532,920 ","26,199,436 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado   ,"670,882 ","717,213 ","754,359 ","802,919 ","845,550 ","871,387 ","896,288 ","954,684 ","1,009,028 ","1,036,012 ","1,077,172 ","1,092,354 "," 1,120,544 ","1,159,561 ","1,156,167 ","1,092,661 ","1,122,925 ","1,227,440 ","1,261,386 ","1,260,787 ","1,332,537 ","1,379,460 ","1,475,154 ","1,535,918 ","1,611,341 ","1,643,451 ","1,689,795 ","1,774,280 ","1,878,330 ","1,996,420 ","2,024,327 ","2,048,409 ","2,104,355 ","2,182,380 ","2,229,042 ","2,269,225 ","2,284,364 ","2,292,473 ","2,310,349 ","2,226,285 ","2,115,926 ","2,043,003 ","2,083,864 ","2,392,276 ","2,591,011 ","2,732,682 ","2,727,570 ","2,756,807 ","2,836,339 ","2,946,476 ","2,990,673 ","3,107,258 ","3,287,922 ","3,165,815 ","2,975,337 ","3,205,054 ","3,341,275 ","3,341,275 ","3,502,709 ","3,605,682 ","3,704,561 ","3,779,273 ","3,669,816 ","3,807,673 ","3,837,488 ","3,883,362 ","3,974,521 ","4,066,580 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,"794,554 ","836,983 ","890,252 ","934,181 ","979,849 ","1,023,130 ","1,108,718 ","1,164,395 ","1,198,326 ","1,252,899 ","1,396,146 ","1,449,444 "," 1,505,663 ","1,552,438 ","1,482,600 ","1,666,103 ","1,766,070 ","1,842,596 ","1,897,875 ","1,982,948 ","1,709,530 ","1,724,174 ","1,760,286 ","1,797,821 ","1,807,796 ","1,784,898 ","1,860,781 ","1,889,714 ","1,912,713 ","2,060,965 ","2,107,092 ","2,174,482 ","2,197,505 ","2,235,145 ","2,249,525 ","2,336,665 ","2,314,612 ","2,334,843 ","2,346,668 ","2,369,966 ","2,373,817 ","2,214,146 ","2,212,725 ","2,357,607 ","2,180,314 ","2,318,543 ","2,349,051 ","2,343,779 ","2,270,228 ","2,349,286 ","2,373,723 ","2,652,593 ","2,650,374 ","2,672,145 ","2,659,918 ","2,694,574 ","2,740,270 ","2,805,124 ","2,848,602 ","2,883,324 ","2,916,143 ","2,934,576 ","2,986,267 ","2,485,708 ","2,534,090 ","2,542,588 ","2,566,673 ","2,611,007 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,"139,347 ","148,234 ","153,007 ","160,636 ","173,962 ","176,322 ","191,694 ","202,846 ","211,453 ","216,795 ","224,503 ","231,288 "," 246,512 ","250,966 ","265,401 ","258,668 ","276,418 ","285,993 ","295,086 ","311,693 ","308,475 ","326,941 ","339,608 ","348,779 ","370,704 ","370,269 ","373,774 ","381,408 ","383,749 ","402,907 ","408,471 ","417,462 ","429,036 ","433,284 ","432,029 ","440,310 ","447,937 ","455,400 ","462,514 ","468,844 ","480,622 ","484,801 ","495,281 ","501,397 ","506,274 ","513,406 ","524,992 ","529,291 ","535,712 ","545,872 ","551,787 ","556,688 ","564,099 ","573,021 ","585,136 ","533,943 ","610,406 ","619,877 ","624,472 ","651,877 ","699,745 ","695,036 ","716,109 ","720,290 ","723,657 ","732,349 ","742,524 ","756,328 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. of Col.,"303,370 ","314,037 ","320,618 ","324,173 ","326,360 ","330,411 ","333,749 ","336,977 ","337,026 ","337,233 ","339,988 ","342,346 "," 344,767 ","347,539 ","347,193 ","349,619 ","343,782 ","343,646 ","343,549 ","343,366 ","346,454 ","339,272 ","345,151 ","344,671 ","335,388 ","331,938 ","335,515 ","335,371 ","349,685 ","349,049 ","345,211 ","344,042 ","343,000 ","385,100 ","370,196 ","374,159 ","384,736 ","388,658 ","388,835 ","391,775 ","394,344 ","412,312 ","406,270 ","351,675 ","361,068 ","361,854 ","338,549 ","333,445 ","356,181 ","349,835 ","348,873 ","348,216 ","328,094 ","309,349 ","313,027 ","349,122 ","330,363 ","357,569 ","396,193 ","373,735 ","376,086 ","384,940 ","395,442 ","400,993 ","405,555 ","419,896 ","455,602 ","489,831 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,"1,213,234 ","1,302,728 ","1,419,975 ","1,530,968 ","1,618,884 ","1,708,891 ","1,882,318 ","2,138,007 ","2,384,867 ","2,431,957 ","2,552,905 ","2,658,883 "," 2,755,703 ","2,919,457 ","3,073,245 ","2,976,004 ","3,091,863 ","3,237,123 ","3,335,861 ","3,424,776 ","3,613,764 ","3,994,024 ","4,083,846 ","4,360,625 ","4,758,804 ","4,945,289 ","5,673,691 ","6,256,318 ","6,572,489 ","6,868,333 ","7,289,502 ","7,267,962 ","7,641,035 ","7,978,824 ","8,347,269 ","8,185,949 ","8,016,239 ","8,334,798 ","8,593,062 ","8,789,843 ","9,006,249 ","9,231,405 ","9,692,974 ","10,537,677 ","10,762,041 ","11,005,438 ","11,024,064 ","11,399,593 ","11,749,244 ","12,026,947 ","12,400,841 ","12,853,428 ","12,743,403 ","12,744,055 ","12,905,812 ","13,146,357 ","13,373,700 ","13,988,630 ","14,138,846 ","14,033,844 ","14,005,066 ","13,949,726 ","13,882,423 ","13,896,581 ","13,670,441 ","13,898,347 ","14,262,715 ","14,675,160 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
