,STATE,ST_CASE,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,WEATHER,DRUNK_DR
0,Alabama,10001,127,0,1,1,2015,Thursday,2,40,Clear,1
1,Alabama,10002,83,0,1,1,2015,Thursday,22,13,Cloudy,0
2,Alabama,10003,11,0,1,1,2015,Thursday,1,25,Clear,1
3,Alabama,10004,45,0,4,1,2015,Sunday,0,57,Cloudy,1
4,Alabama,10005,45,2050,7,1,2015,Wednesday,7,9,Clear,0
5,Alabama,10006,111,0,8,1,2015,Thursday,9,59,Clear,0
6,Alabama,10007,89,1730,8,1,2015,Thursday,18,33,Clear,0
7,Alabama,10008,73,350,3,1,2015,Saturday,21,30,Rain,0
8,Alabama,10009,117,47,13,1,2015,Tuesday,8,0,Cloudy,0
9,Alabama,10010,33,0,5,1,2015,Monday,18,45,Clear,0
10,Alabama,10011,83,0,7,1,2015,Wednesday,20,55,Clear,0
11,Alabama,10012,95,1500,9,1,2015,Friday,6,35,Clear,0
12,Alabama,10013,87,0,10,1,2015,Saturday,10,55,Clear,1
13,Alabama,10014,11,0,11,1,2015,Sunday,6,13,Cloudy,1
14,Alabama,10015,127,0,11,1,2015,Sunday,8,30,Clear,0
15,Alabama,10016,81,2340,13,1,2015,Tuesday,17,20,Cloudy,0
16,Alabama,10017,97,0,14,1,2015,Wednesday,14,40,Cloudy,0
17,Alabama,10018,1,0,16,1,2015,Friday,19,15,Clear,1
18,Alabama,10019,121,0,19,1,2015,Monday,1,0,Clear,0
19,Alabama,10020,121,2910,15,1,2015,Thursday,17,10,Rain,0
20,Alabama,10021,115,0,23,1,2015,Friday,13,48,Rain,0
21,Alabama,10022,127,0,26,1,2015,Monday,6,15,Clear,0
22,Alabama,10023,11,0,12,1,2015,Monday,21,20,Fog/Smog/Smoke,1
23,Alabama,10024,5,0,2,1,2015,Friday,6,0,Clear,0
24,Alabama,10025,125,0,15,1,2015,Thursday,3,5,Clear,1
25,Alabama,10026,73,2052,13,1,2015,Tuesday,13,33,Cloudy,0
26,Alabama,10027,3,2890,17,1,2015,Saturday,14,42,Clear,0
27,Alabama,10028,1,2540,10,1,2015,Saturday,0,31,Clear,1
28,Alabama,10029,69,0,23,1,2015,Friday,5,40,Rain,0
29,Alabama,10030,21,0,24,1,2015,Saturday,13,15,Clear,0
30,Alabama,10031,93,0,24,1,2015,Saturday,16,38,Clear,0
31,Alabama,10032,15,0,25,1,2015,Sunday,6,20,Clear,1
32,Alabama,10033,123,60,23,1,2015,Friday,21,22,Rain,1
33,Alabama,10034,3,860,15,1,2015,Thursday,14,27,Cloudy,1
34,Alabama,10035,73,20,28,1,2015,Wednesday,9,25,Clear,0
35,Alabama,10036,97,0,19,1,2015,Monday,14,25,Clear,0
36,Alabama,10037,3,0,26,1,2015,Monday,14,40,Clear,0
37,Alabama,10038,97,2100,27,1,2015,Tuesday,16,50,Clear,0
38,Alabama,10039,97,0,29,1,2015,Thursday,0,50,Clear,1
39,Alabama,10040,73,350,20,1,2015,Tuesday,15,57,Clear,0
40,Alabama,10041,49,0,28,1,2015,Wednesday,21,10,Clear,1
41,Alabama,10042,125,0,31,1,2015,Saturday,18,45,Clear,0
42,Alabama,10043,49,0,2,2,2015,Monday,3,20,Cloudy,0
43,Alabama,10044,73,1716,31,1,2015,Saturday,3,10,Clear,0
44,Alabama,10045,97,2100,31,1,2015,Saturday,8,19,Clear,0
45,Alabama,10046,17,1830,8,2,2015,Sunday,2,15,Clear,0
46,Alabama,10047,97,2100,22,1,2015,Thursday,0,7,Clear,1
47,Alabama,10048,3,0,24,1,2015,Saturday,22,0,Clear,0
48,Alabama,10049,73,350,29,1,2015,Thursday,1,15,Clear,0
49,Alabama,10050,97,0,31,1,2015,Saturday,4,50,Clear,0
50,Alabama,10051,109,3040,1,2,2015,Sunday,14,38,Rain,0
51,Alabama,10052,83,9997,9,2,2015,Monday,4,40,Rain,0
52,Alabama,10053,37,0,1,2,2015,Sunday,17,55,Rain,0
53,Alabama,10054,91,0,3,2,2015,Tuesday,17,30,Clear,0
54,Alabama,10055,89,0,4,2,2015,Wednesday,2,25,Clear,0
55,Alabama,10056,3,0,8,2,2015,Sunday,2,20,Clear,1
56,Alabama,10057,49,2564,4,2,2015,Wednesday,17,52,Clear,0
57,Alabama,10058,13,1460,8,2,2015,Sunday,14,40,Clear,0
58,Alabama,10059,33,0,10,2,2015,Tuesday,22,0,Clear,0
59,Alabama,10060,49,2564,10,2,2015,Tuesday,17,39,Cloudy,0
60,Alabama,10061,93,0,13,2,2015,Friday,21,33,Clear,1
61,Alabama,10062,89,0,14,2,2015,Saturday,10,55,Clear,0
62,Alabama,10063,45,845,1,2,2015,Sunday,3,55,Clear,1
63,Alabama,10064,97,2100,4,2,2015,Wednesday,0,19,Clear,0
64,Alabama,10065,3,2650,31,1,2015,Saturday,10,47,Clear,0
65,Alabama,10066,101,2130,8,2,2015,Sunday,1,41,Cloudy,1
66,Alabama,10067,81,200,11,2,2015,Wednesday,11,41,Clear,0
67,Alabama,10068,113,0,15,2,2015,Sunday,18,23,Clear,0
68,Alabama,10069,97,2100,15,2,2015,Sunday,21,8,Clear,1
69,Alabama,10070,121,0,22,2,2015,Sunday,3,55,Rain,1
70,Alabama,10071,95,50,20,2,2015,Friday,22,30,Sleet/Hail,0
71,Alabama,10072,73,350,22,2,2015,Sunday,19,0,Clear,0
72,Alabama,10073,73,350,20,2,2015,Friday,23,0,Clear,0
73,Alabama,10074,73,1710,16,2,2015,Monday,5,17,Clear,0
74,Alabama,10075,101,0,10,2,2015,Tuesday,18,0,Clear,1
75,Alabama,10076,97,0,13,2,2015,Friday,10,9,Clear,0
76,Alabama,10077,81,2340,23,2,2015,Monday,18,43,Cloudy,0
77,Alabama,10078,125,3050,24,2,2015,Tuesday,15,52,Cloudy,0
78,Alabama,10079,73,0,7,3,2015,Saturday,4,45,Clear,1
79,Alabama,10080,101,0,17,2,2015,Tuesday,15,25,Clear,1
80,Alabama,10081,33,0,20,2,2015,Friday,12,0,Snow,1
81,Alabama,10082,3,1210,24,2,2015,Tuesday,21,14,Clear,0
82,Alabama,10083,83,0,1,3,2015,Sunday,3,13,Clear,2
83,Alabama,10084,125,2260,1,3,2015,Sunday,10,25,Clear,1
84,Alabama,10085,121,0,1,3,2015,Sunday,13,30,Clear,1
85,Alabama,10086,89,1730,1,3,2015,Sunday,17,58,Rain,1
86,Alabama,10087,95,0,3,3,2015,Tuesday,12,25,Rain,0
87,Alabama,10088,127,0,3,3,2015,Tuesday,19,45,Rain,0
88,Alabama,10089,97,2550,3,3,2015,Tuesday,18,56,Clear,1
89,Alabama,10090,73,350,5,3,2015,Thursday,18,25,Cloudy,0
90,Alabama,10091,97,2550,3,3,2015,Tuesday,10,52,Clear,0
91,Alabama,10092,81,2340,8,3,2015,Sunday,19,10,Clear,0
92,Alabama,10093,73,0,9,3,2015,Monday,5,55,Rain,0
93,Alabama,10094,53,0,6,3,2015,Friday,20,25,Clear,0
94,Alabama,10095,101,2130,2,3,2015,Monday,8,7,Fog/Smog/Smoke,0
95,Alabama,10096,47,0,6,3,2015,Friday,13,45,Clear,1
96,Alabama,10097,115,160,18,2,2015,Wednesday,7,48,Cloudy,0
97,Alabama,10098,69,930,28,2,2015,Saturday,19,57,Cloudy,0
98,Alabama,10099,127,0,4,3,2015,Wednesday,11,47,Cloudy,0
99,Alabama,10101,59,0,7,3,2015,Saturday,4,0,Clear,1
100,Alabama,10102,101,2130,14,3,2015,Saturday,3,38,Rain,1
101,Alabama,10103,125,0,28,2,2015,Saturday,1,40,Clear,1
102,Alabama,10104,3,2650,5,3,2015,Thursday,15,3,Cloudy,0
103,Alabama,10105,77,1200,6,3,2015,Friday,99,99,Clear,1
104,Alabama,10106,23,0,9,3,2015,Monday,23,5,Rain,1
105,Alabama,10107,73,0,13,3,2015,Friday,0,41,Rain,1
106,Alabama,10108,15,2325,13,3,2015,Friday,19,21,Rain,0
107,Alabama,10109,17,0,14,3,2015,Saturday,10,0,Fog/Smog/Smoke,0
108,Alabama,10110,37,0,14,3,2015,Saturday,16,40,Cloudy,0
109,Alabama,10111,125,0,16,3,2015,Monday,22,55,Clear,1
110,Alabama,10112,93,0,21,3,2015,Saturday,1,45,Clear,0
111,Alabama,10113,73,0,4,4,2015,Saturday,20,15,Clear,0
112,Alabama,10114,3,860,1,4,2015,Wednesday,22,49,Clear,1
113,Alabama,10115,127,0,27,3,2015,Friday,23,28,Cloudy,0
114,Alabama,10116,35,0,14,3,2015,Saturday,21,7,Clear,0
115,Alabama,10117,3,0,11,3,2015,Wednesday,19,30,Cloudy,0
116,Alabama,10118,103,890,8,3,2015,Sunday,4,34,Clear,1
117,Alabama,10119,125,0,1,3,2015,Sunday,20,5,Cloudy,0
118,Alabama,10120,115,160,3,3,2015,Tuesday,13,27,Cloudy,0
119,Alabama,10121,51,3270,8,3,2015,Sunday,14,15,Clear,0
120,Alabama,10122,1,0,10,3,2015,Tuesday,11,50,Cloudy,0
121,Alabama,10123,43,0,16,3,2015,Monday,7,55,Clear,0
122,Alabama,10124,89,1970,16,3,2015,Monday,10,4,Clear,0
123,Alabama,10125,113,0,17,3,2015,Tuesday,15,6,Clear,0
